AnimalID,FoundLocation,Latitude,Longtitude,IntakeDate,Type,LooksLike,Color,Sex,Age,ImageLink
A771295,6201 SOFTWOOD DRIVE AUSTIN 78744  ,30.185879,-97.74859,5/3/2018,Cat,Domestic Shorthair Mix,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771295
A771296,4608 GILLIS STREET AUSTIN 78745  ,30.222178,-97.78495,5/3/2018,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771296
A771299,2404 EMMETT PARKWAY AUSTIN 78728  ,30.45248,-97.677863,5/3/2018,Dog,Chihuahua Shorthair Mix,Fawn/White,Unknown,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771299
A771300,8313 NICOLA TRAIL AUSTIN 78745  ,30.194718,-97.82882,5/3/2018,Dog,Labrador Retriever Mix,Black/Tan,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771300
A771301,6605 EAST WILLIAM CANNON DRIVE AUSTIN 78744  ,30.165522,-97.73426,5/3/2018,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771301
A771302,800 SIROCCO DRIVE AUSTIN 78745  ,30.203559,-97.788468,5/3/2018,Dog,Beagle Mix,Brown/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771302
A771303,1321 STANISLAWS DRIVE AUSTIN 78748  ,30.149562,-97.83175,5/4/2018,Dog,Chihuahua Shorthair Mix,Fawn/White,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771303
A771304,1701 WEST BEN WHITE BOULEVARD AUSTIN 78701  ,30.227729,-97.784355,5/3/2018,Dog,Australian Cattle Dog Mix,Red Merle,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771304
A771311,251 TRINITY STREET AUSTIN 78701  ,30.264254,-97.740386,5/3/2018,Cat,Domestic Shorthair Mix,Black,Unknown,3 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A771311
A771312,251 TRINITY STREET AUSTIN 78701  ,30.264254,-97.740386,5/3/2018,Cat,Domestic Shorthair Mix,Gray Tabby,Unknown,3 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A771312
A771322,1004 BODGERS DR AUSTIN 78753  ,30.38655,-97.663534,5/3/2018,Cat,Domestic Shorthair Mix,Blue,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771322
A771326,5207 RATON PASS AUSTIN 78724  ,30.312205,-97.658414,5/3/2018,Dog,Chihuahua Shorthair Mix,Tricolor,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771326
A771328,912 BRET LANE AUSTIN 78721  ,30.256329,-97.688189,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771328
A771333,1901 HEARTHSTONE DRIVE AUSTIN 78757  ,30.366268,-97.720975,5/3/2018,Dog,Yorkshire Terrier Mix,White/Gray,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771333
A771336,1919 MONTOPOLIS DRIVE AUSTIN 78741  ,30.225213,-97.703252,5/3/2018,Dog,Labrador Retriever Mix,Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771336
A771348,1500 FARO DRIVE AUSTIN 78741  ,30.234723,-97.713735,5/3/2018,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771348
A771354,4821 EAST RIVERSIDE DRIVE AUSTIN 78741  ,30.231576,-97.717457,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771354
A771372,7201 LEVANDER LOOP AUSTIN 78702  ,30.251079,-97.691727,5/4/2018,Dog,Boston Terrier Mix,White/Black,Intact Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771372
A771373,7201 LEVANDER LOOP AUSTIN 78702  ,30.251079,-97.691727,5/4/2018,Dog,Chihuahua Shorthair Mix,Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771373
A771374,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771374
A771375,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771375
A771376,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771376
A771377,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771377
A771378,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Gray Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771378
A771379,2314 DEADWOOD DR AUSTIN 78744  ,30.197132,-97.750216,5/3/2018,Cat,Domestic Shorthair Mix,Gray Tabby,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771379
A771384,8700 PUTNAM DRIVE AUSTIN 78757  ,30.367122,-97.720228,5/4/2018,Dog,Miniature Poodle Mix,White/Gray,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771384
A771385,3300 PARKER LANE AUSTIN 78741  ,30.222542,-97.74215,5/4/2018,Dog,Labrador Retriever Mix,Black/Brown,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771385
